url,status,length,time,pd
https://www.coep.org.in/,200,20746,2022-11-17T08:03:31.708741+05:30,08:03:31
https://www.coep.org.in/,200,20733,2022-11-17T08:03:33.431302+05:30,08:03:33
https://www.coep.org.in/,200,20738,2022-11-17T08:03:33.511137+05:30,08:03:33
https://www.coep.org.in/,200,20732,2022-11-17T08:03:33.617624+05:30,08:03:33
https://www.coep.org.in/,200,20735,2022-11-17T08:03:33.872634+05:30,08:03:33
https://www.coep.org.in/,200,20735,2022-11-17T08:03:34.065054+05:30,08:03:34
https://www.coep.org.in/,200,20741,2022-11-17T08:03:34.132018+05:30,08:03:34
https://www.coep.org.in/,200,20743,2022-11-17T08:03:34.608266+05:30,08:03:34
https://www.coep.org.in/,200,20736,2022-11-17T08:03:34.806387+05:30,08:03:34
https://www.coep.org.in/,200,20728,2022-11-17T08:03:34.884309+05:30,08:03:34
https://www.coep.org.in/,200,20741,2022-11-17T08:03:34.926562+05:30,08:03:34
https://www.coep.org.in/,200,20746,2022-11-17T08:03:34.943475+05:30,08:03:34
https://www.coep.org.in/,200,20738,2022-11-17T08:03:34.949866+05:30,08:03:34
https://www.coep.org.in/,200,20736,2022-11-17T08:03:35.010301+05:30,08:03:35
https://www.coep.org.in/,200,20747,2022-11-17T08:03:35.226806+05:30,08:03:35
https://www.coep.org.in/,200,20729,2022-11-17T08:03:35.332072+05:30,08:03:35
https://www.coep.org.in/,200,20744,2022-11-17T08:03:35.507433+05:30,08:03:35
https://www.coep.org.in/,200,20737,2022-11-17T08:03:35.553076+05:30,08:03:35
https://www.coep.org.in/,200,20741,2022-11-17T08:03:35.694978+05:30,08:03:35
https://www.coep.org.in/,200,20738,2022-11-17T08:03:35.975550+05:30,08:03:35
https://www.coep.org.in/,200,20742,2022-11-17T08:03:36.070106+05:30,08:03:36
https://www.coep.org.in/,200,20731,2022-11-17T08:03:36.138646+05:30,08:03:36
https://www.coep.org.in/,200,20739,2022-11-17T08:03:36.178214+05:30,08:03:36
https://www.coep.org.in/,200,20735,2022-11-17T08:03:36.292580+05:30,08:03:36
https://www.coep.org.in/,200,20745,2022-11-17T08:03:36.336609+05:30,08:03:36
https://www.coep.org.in/,200,20730,2022-11-17T08:03:36.445688+05:30,08:03:36
https://www.coep.org.in/,200,20743,2022-11-17T08:03:36.474792+05:30,08:03:36
https://www.coep.org.in/,200,20736,2022-11-17T08:03:36.479079+05:30,08:03:36
https://www.coep.org.in/,200,20735,2022-11-17T08:03:36.653737+05:30,08:03:36
https://www.coep.org.in/,200,20733,2022-11-17T08:03:36.892744+05:30,08:03:36
https://www.coep.org.in/,200,20739,2022-11-17T08:03:36.926230+05:30,08:03:36
https://www.coep.org.in/,200,20735,2022-11-17T08:03:36.928202+05:30,08:03:36
https://www.coep.org.in/,200,20742,2022-11-17T08:03:37.459537+05:30,08:03:37
https://www.coep.org.in/,200,20737,2022-11-17T08:03:37.525813+05:30,08:03:37
https://www.coep.org.in/,200,20718,2022-11-17T08:03:37.637940+05:30,08:03:37
https://www.coep.org.in/,200,20726,2022-11-17T08:03:37.725750+05:30,08:03:37
https://www.coep.org.in/,200,20740,2022-11-17T08:03:37.734240+05:30,08:03:37
https://www.coep.org.in/,200,20724,2022-11-17T08:03:37.935039+05:30,08:03:37
https://www.coep.org.in/,200,20738,2022-11-17T08:03:37.998268+05:30,08:03:37
https://www.coep.org.in/,200,20740,2022-11-17T08:03:38.273826+05:30,08:03:38
https://www.coep.org.in/,200,20735,2022-11-17T08:03:38.358171+05:30,08:03:38
https://www.coep.org.in/,200,20740,2022-11-17T08:03:38.473962+05:30,08:03:38
https://www.coep.org.in/,200,20731,2022-11-17T08:03:38.485744+05:30,08:03:38
https://www.coep.org.in/,200,20731,2022-11-17T08:03:38.569904+05:30,08:03:38
https://www.coep.org.in/,200,20735,2022-11-17T08:03:38.734053+05:30,08:03:38
https://www.coep.org.in/,200,20747,2022-11-17T08:03:38.785842+05:30,08:03:38
